Site,City,ju18_1,ju18_2,ju18_3,ju18_4,oc18_1,oc18_2,oc18_3,oc18_4,ja19_1,ja19_2,ja19_3,ja19_4,ap19_1,ap19_2,ap19_3,ap19_4,ju19_1,ju19_2,ju19_3,ju19_4,oc19_1,oc19_2,oc19_3,oc19_4,ja20_1,ja20_2,ja20_3,ja20_4,ap20_1,ap20_2,ap20_3,ap20_4,ju20_1,ju20_2,ju20_3,ju20_4
R02-HRF1,chil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
R03-AUP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0
R03-CPG1,chil,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,0,0,1,1,1,1,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
R03-EUC1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,NA,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA
R03-MAP1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
R04-MMW0,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA,0,0,1,1
R04-MMW3,chil,0,0,1,1,NA,NA,NA,NA,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0
R04-SCH1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1
R05-FMG1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,1,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0
R05-GOC1,chil,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,1,1,0,0,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,0,0,0,0
R05-STP1,chil,0,0,0,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R06-OTB1,chil,1,1,1,0,NA,NA,NA,NA,0,1,1,NA,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
R06-SLT2,chil,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,NA,NA,NA,0,0,0,0
R06-YOW1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0
R07-FSP1,chil,1,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,1,0,0,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,0,0,0,0
R07-GOF1,chil,0,0,0,0,NA,NA,NA,NA,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
R07-MMP1,chil,1,1,0,0,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,1,1
R07-YHR1,chil,1,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0
R08-DAP1,chil,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
R08-PAP1,chil,0,1,0,0,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
R08-VLG1,chil,0,0,0,0,NA,NA,NA,NA,1,1,1,0,1,1,1,1,NA,NA,NA,NA,1,1,1,1,0,1,1,1,NA,NA,NA,NA,0,0,0,0
R08-WBK1,chil,0,0,1,1,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
R09-BLW1,chil,1,1,1,1,NA,NA,NA,NA,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,NA,NA,NA,NA,0,0,1,1
R09-CTG0,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,NA,1,NA,NA,NA,NA,0,0,0,0
R09-LIM0,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,0,0,0,1
R09-SMI1,chil,1,1,0,0,NA,NA,NA,NA,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,NA,NA,NA,NA,0,1,1,1
R10-FRM1,chil,0,0,0,0,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,0,0,0
R10-FRM2,chil,0,0,0,0,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,NA,NA,1,0,NA,NA,NA,NA,0,0,0,0
