Site,City,meanCan,Canopy,gmcCanopy,meanImp,Impervious,gmcImpervious,meanGrass,Grass,gmcGrass
S07-ARG2,chil,9.821718,22.12162162,12.29990362,39.68663,29.83952703,-9.84710297,12.769209,13.51351351,0.744304514
S07-STJ1,chil,9.821718,39.28353141,29.46181341,39.68663,11.09847199,-28.58815801,12.769209,11.7147708,-1.054438202
S08-WGL1,chil,9.821718,48.98648649,39.16476849,39.68663,5.422297297,-34.2643327,12.769209,4.72972973,-8.03947927
S08-WGL3,chil,9.821718,57.55311973,47.73140173,39.68663,0.192242833,-39.49438717,12.769209,1.180438449,-11.58877055
S09-KTP1,chil,9.821718,30.90677966,21.08506166,39.68663,10.64576271,-29.04086729,12.769209,7.966101695,-4.803107305
S09-SMC1,chil,9.821718,4.288624788,-5.533093212,39.68663,40.43803056,0.75140056,12.769209,16.97792869,4.208719693
S09-VTW0,chil,9.821718,27.39261745,17.57089945,39.68663,30.75503356,-8.93159644,12.769209,9.395973154,-3.373235846
S10-ILC1,chil,9.821718,12.45777027,2.63605227,39.68663,12.68412162,-27.00250838,12.769209,3.378378378,-9.390830622
S10-LEW1,chil,9.821718,23.05782313,13.23610513,39.68663,16.28741497,-23.39921503,12.769209,20.74829932,7.97909032
S10-LPC1,chil,9.821718,6.834170854,-2.987547146,39.68663,41.95477387,2.26814387,12.769209,16.58291457,3.813705573
S10-LPP0,chil,9.821718,8.188455008,-1.633262992,39.68663,2.020373514,-37.66625649,12.769209,0.848896435,-11.92031257
E01-CHE1,deco,3.876685,12.80234506,8.92566006,39.086991,36.47236181,-2.61462919,14.278019,38.19095477,23.91293577
E01-CON1,deco,3.876685,15.03535354,11.15866854,39.086991,33.76430976,-5.32268124,14.278019,24.91582492,10.63780592
E01-CPE1,deco,3.876685,7.198641766,3.321956766,39.086991,26.27843803,-12.80855297,14.278019,43.29371817,29.01569917
E01-CPW1,deco,3.876685,7.858347386,3.981662386,39.086991,32.27318718,-6.81380382,14.278019,40.47217538,26.19415638
E01-SGP1,deco,3.876685,3.027027027,-0.849657973,39.086991,66.69425676,27.60726576,14.278019,8.108108108,-6.169910892
E02-FTP1,deco,3.876685,0.129848229,-3.746836771,39.086991,47.03035413,7.94336313,14.278019,20.57335582,6.295336818
E02-LIN1,deco,3.876685,4.153198653,0.276513653,39.086991,52.12794613,13.04095513,14.278019,4.04040404,-10.23761496
E02-MCN1,deco,3.876685,1.202380952,-2.674304048,39.086991,40.67687075,1.58987975,14.278019,3.571428571,-10.70659043
E02-MON1,deco,3.876685,14.22372881,10.34704381,39.086991,31.75932203,-7.32766897,14.278019,20,5.721981
E02-VER1,deco,3.876685,2.069491525,-1.807193475,39.086991,39.26779661,0.18080561,14.278019,10.50847458,-3.769544424
E03-CWP1,deco,3.876685,1.237288136,-2.639396864,39.086991,44.07966102,4.99267002,14.278019,11.86440678,-2.41361222
E03-DMP1,deco,3.876685,3.357859532,-0.518825468,39.086991,42.75083612,3.66384512,14.278019,22.74247492,8.464455916
E03-GEN1,deco,3.876685,0.625423729,-3.251261271,39.086991,62.96610169,23.87911069,14.278019,6.101694915,-8.176324085
E03-SAC1,deco,3.876685,1.348047538,-2.528637462,39.086991,28.06112054,-11.02587046,14.278019,27.50424448,13.22622548
E03-SPG1,deco,3.876685,0.540540541,-3.336144459,39.086991,54.10472973,15.01773873,14.278019,3.040540541,-11.23747846
